"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2022","85.93","87.75","87.76","85.98","0.04K","-0.14%"
"11/30/2022","86.05","83.20","85.50","83.20","0.04K","5.45%"
"11/29/2022","81.60","80.80","80.80","80.80","0.00K","1.75%"
"11/28/2022","80.20","81.86","81.86","79.99","0.13K","-1.40%"
"11/25/2022","81.34","83.60","83.60","83.47","0.00K","-3.10%"
"11/23/2022","83.94","83.57","84.02","82.00","0.48K","0.87%"
"11/22/2022","83.22","81.00","83.94","80.04","2.71K","2.54%"
"11/21/2022","81.16","84.99","84.99","81.16","7.98K","-4.70%"
"11/18/2022","85.16","87.04","87.13","84.18","8.74K","-2.16%"
"11/17/2022","87.04","88.07","88.82","85.64","6.72K","-1.58%"
"11/16/2022","88.44","88.80","91.85","87.81","9.02K","-0.34%"
"11/15/2022","88.74","85.35","89.28","85.23","14.47K","4.06%"
"11/14/2022","85.28","88.20","88.40","85.12","15.44K","-3.31%"
"11/11/2022","88.20","86.52","88.75","86.38","19.79K","2.11%"
"11/10/2022","86.38","86.49","87.44","84.93","18.53K","-0.14%"
"11/09/2022","86.50","87.68","88.75","84.19","24.71K","-1.35%"
"11/08/2022","87.68","87.46","89.31","86.25","21.39K","0.22%"
"11/07/2022","87.49","86.23","88.25","84.85","33.51K","0.64%"
"11/04/2022","86.93","83.45","87.87","81.25","36.85K","4.73%"
"11/03/2022","83.00","79.90","83.00","77.69","35.91K","5.06%"
"11/02/2022","79.00","78.40","79.00","76.52","31.10K","5.33%"
"11/01/2022","75.00","72.15","75.00","72.00","13.67K","4.17%"
"10/31/2022","72.00","72.11","73.22","70.21","22.71K","-0.15%"
"10/28/2022","72.11","74.74","75.37","72.11","16.49K","-3.99%"
"10/27/2022","75.11","77.81","78.10","74.82","18.10K","-3.48%"
"10/26/2022","77.82","78.47","79.64","77.67","12.70K","-0.83%"
"10/25/2022","78.47","76.13","79.09","76.05","17.09K","3.07%"
"10/24/2022","76.13","79.40","80.80","76.13","17.88K","-3.79%"
"10/21/2022","79.13","77.50","79.93","75.80","25.08K","2.24%"
"10/20/2022","77.40","78.20","79.66","77.14","21.49K","-1.14%"
"10/19/2022","78.29","82.58","83.69","78.29","25.44K","-4.86%"
"10/18/2022","82.29","83.09","83.75","81.78","15.75K","-0.96%"
"10/17/2022","83.09","83.04","84.68","83.00","13.04K","-0.07%"
"10/14/2022","83.15","84.79","85.86","83.00","12.79K","-1.93%"
"10/13/2022","84.79","84.92","85.58","82.00","21.95K","-0.15%"
"10/12/2022","84.92","88.49","88.76","84.86","21.06K","-4.43%"
"10/11/2022","88.86","88.64","89.78","87.05","19.68K","0.71%"
"10/10/2022","88.23","84.75","88.23","83.55","16.06K","-4.34%"
"10/07/2022","92.23","83.01","84.79","81.55","17.28K","1.46%"
