"Date","Price","Open","High","Low","Vol.","Change %"
"03/10/2023","100.21","100.95","101.60","99.82","11.62M","-1.33%"
"03/09/2023","101.56","103.00","103.24","101.56","8.40M","-1.61%"
"03/08/2023","103.22","101.20","103.30","101.12","8.87M","2.30%"
"03/07/2023","100.90","101.48","101.78","100.12","4.82M","-0.56%"
"03/06/2023","101.47","100.83","101.81","99.77","7.00M","1.05%"
"03/03/2023","100.42","100.30","101.15","100.22","4.27M","0.48%"
"03/02/2023","99.94","100.88","101.56","99.94","5.86M","-1.25%"
"03/01/2023","101.20","101.91","101.94","99.71","12.45M","0.05%"
"02/28/2023","101.15","102.34","103.34","101.15","7.21M","-1.11%"
"02/27/2023","102.29","102.71","103.02","101.80","4.63M","-0.09%"
"02/24/2023","102.38","104.00","104.06","101.87","7.55M","-1.70%"
"02/23/2023","104.15","103.71","105.18","103.15","8.95M","0.53%"
"02/22/2023","103.60","104.09","104.09","103.18","5.37M","-1.86%"
"02/17/2023","105.56","105.75","106.27","105.36","5.47M","-0.88%"
"02/16/2023","106.50","105.48","106.82","104.75","7.29M","0.42%"
"02/15/2023","106.05","104.19","108.00","103.62","10.60M","1.55%"
"02/14/2023","104.43","105.85","106.06","104.05","6.32M","-0.99%"
"02/13/2023","105.47","104.36","105.63","103.92","6.79M","0.69%"
"02/10/2023","104.75","104.16","105.13","104.10","4.77M","0.30%"
"02/09/2023","104.44","106.33","106.45","104.26","7.42M","-1.79%"
"02/08/2023","106.34","105.03","106.62","104.80","6.15M","2.15%"
"02/07/2023","104.10","105.39","105.39","103.70","6.13M","-1.09%"
"02/06/2023","105.25","104.88","105.25","103.90","6.12M","0.36%"
"02/03/2023","104.87","106.15","106.91","104.54","7.87M","-1.35%"
"02/02/2023","106.30","107.49","109.27","106.06","9.56M","-1.94%"
"02/01/2023","108.40","109.49","109.86","107.06","10.38M","-1.31%"
"01/31/2023","109.84","108.71","109.96","108.71","5.73M","1.05%"
"01/30/2023","108.70","109.01","109.32","108.13","2.91M","0.28%"
"01/27/2023","108.40","110.28","110.29","108.34","5.29M","-1.83%"
"01/26/2023","110.42","110.70","111.10","109.86","4.38M","-0.21%"
"01/25/2023","110.65","109.00","110.68","108.21","6.43M","1.11%"
"01/24/2023","109.43","108.71","109.43","107.97","5.72M","1.42%"
"01/23/2023","107.90","108.89","109.33","107.88","4.40M","-0.51%"
"01/20/2023","108.45","109.11","109.15","108.01","6.27M","-0.60%"
"01/19/2023","109.11","107.70","109.54","107.61","4.38M","0.72%"
"01/18/2023","108.33","108.83","109.60","108.33","9.41M","0.49%"
"01/17/2023","107.80","106.24","107.98","106.22","6.65M","2.21%"
"01/16/2023","105.47","106.95","106.95","105.13","6.91M","-1.75%"
"01/13/2023","107.35","106.94","107.64","106.69","4.74M","-0.84%"
"01/12/2023","108.26","108.50","109.19","106.94","5.88M","-0.77%"
"01/11/2023","109.10","107.40","109.10","107.11","6.16M","1.79%"
"01/10/2023","107.18","104.85","107.54","104.72","4.79M","1.74%"
"01/09/2023","105.35","104.94","106.32","104.68","6.37M","-0.14%"
"01/06/2023","105.50","104.48","105.80","104.20","8.77M","1.18%"
"01/05/2023","104.27","102.54","104.27","101.83","7.30M","2.31%"
"01/04/2023","101.92","101.21","102.18","100.40","6.68M","1.43%"
"01/03/2023","100.48","103.00","103.00","100.35","12.19M","-2.09%"
"01/02/2023","102.63","104.36","104.45","102.29","7.56M","-3.13%"
"12/29/2022","105.95","107.17","107.50","105.76","6.19M","-0.80%"
"12/28/2022","106.80","105.37","107.00","105.11","4.20M","1.81%"
"12/27/2022","104.90","105.77","105.77","103.71","7.38M","-0.24%"
"12/26/2022","105.15","105.66","105.74","104.57","4.38M","-0.80%"
"12/23/2022","106.00","104.60","106.26","104.31","10.61M","1.99%"
"12/22/2022","103.93","104.00","104.77","102.89","6.29M","0.06%"
"12/21/2022","103.87","104.16","104.94","102.40","10.18M","0.31%"
"12/20/2022","103.55","100.78","104.50","100.78","12.87M","2.15%"
"12/19/2022","101.37","99.90","101.64","99.45","7.74M","1.98%"
"12/16/2022","99.40","100.45","100.64","98.81","12.32M","-1.09%"
"12/15/2022","100.50","99.94","102.20","99.55","12.77M","-0.20%"
"12/14/2022","100.70","99.30","101.16","98.30","15.09M","0.40%"
"12/13/2022","100.30","102.26","103.77","100.01","16.35M","-1.47%"
"12/12/2022","101.80","103.75","103.97","100.30","12.42M","-2.02%"
"12/09/2022","103.90","104.23","104.92","103.39","5.25M","0.32%"
"12/08/2022","103.57","105.06","105.55","103.19","7.51M","-1.91%"
"12/07/2022","105.59","105.99","106.48","104.84","5.45M","-1.08%"
"12/06/2022","106.74","106.50","106.88","105.42","6.25M","1.05%"
"12/05/2022","105.63","107.70","108.15","105.50","5.82M","-2.15%"
"12/02/2022","107.95","107.57","109.90","106.14","7.88M","0.83%"
"12/01/2022","107.06","107.77","108.20","106.71","7.07M","-1.40%"
"11/30/2022","108.58","107.10","108.58","106.39","8.92M","1.20%"
"11/29/2022","107.29","105.87","108.44","105.51","9.51M","2.04%"
"11/28/2022","105.15","105.14","105.76","104.64","3.98M","0.08%"
"11/25/2022","105.07","107.80","107.96","104.82","5.24M","-2.89%"
"11/24/2022","108.20","105.90","108.86","105.79","7.27M","2.81%"
"11/23/2022","105.24","104.65","105.60","104.18","8.10M","0.16%"
"11/22/2022","105.07","106.35","106.60","104.11","6.81M","-0.95%"
"11/21/2022","106.08","106.00","106.45","104.20","12.57M","1.17%"
"11/18/2022","104.85","107.09","107.78","104.65","12.03M","-0.79%"
"11/17/2022","105.69","104.90","105.93","103.53","16.98M","-0.33%"
"11/16/2022","106.04","109.24","109.44","105.62","14.25M","-2.93%"
"11/14/2022","109.24","109.58","110.43","108.08","8.74M","0.64%"
"11/11/2022","108.55","106.10","109.24","105.75","12.72M","2.31%"
"11/10/2022","106.10","107.00","108.68","104.65","24.10M","-3.33%"
"11/09/2022","109.75","111.21","112.50","109.14","12.35M","-2.27%"
"11/08/2022","112.30","110.72","113.17","110.61","8.04M","0.97%"
"11/07/2022","111.22","113.39","114.14","111.16","8.49M","-2.44%"
"11/04/2022","114.00","115.34","115.91","113.95","9.55M","0.80%"
"11/03/2022","113.10","111.36","113.35","110.40","7.91M","0.26%"
"11/01/2022","112.81","113.16","114.19","111.44","10.01M","0.59%"
"10/31/2022","112.15","108.47","112.78","108.25","13.93M","-0.75%"
"10/28/2022","113.00","109.84","113.00","109.34","11.12M","2.73%"
"10/27/2022","110.00","109.80","112.53","109.10","9.08M","1.12%"
"10/26/2022","108.78","109.55","110.43","108.70","7.71M","-1.54%"
"10/25/2022","110.48","111.70","112.24","110.48","6.91M","-1.48%"
"10/24/2022","112.14","114.57","114.57","111.80","9.86M","-3.68%"
"10/21/2022","116.43","113.00","116.61","112.63","11.92M","3.13%"
"10/20/2022","112.90","113.19","113.33","112.40","11.38M","0.49%"
"10/19/2022","112.35","111.73","112.44","111.27","3.79M","0.37%"
"10/18/2022","111.94","111.25","111.94","110.18","6.49M","1.86%"
"10/17/2022","109.90","108.77","110.39","108.41","3.77M","1.55%"
"10/14/2022","108.22","110.36","110.72","107.67","5.65M","-1.85%"
"10/13/2022","110.26","109.27","111.45","108.75","7.73M","-0.57%"
"10/11/2022","110.89","111.49","111.87","110.29","5.33M","-1.06%"
"10/10/2022","112.08","112.89","113.05","111.28","5.75M","-0.62%"
"10/07/2022","112.78","112.97","113.89","111.96","9.12M","-0.61%"
"10/06/2022","113.47","113.59","114.47","113.01","8.50M","0.13%"
"10/05/2022","113.32","112.62","113.48","111.82","6.24M","0.86%"
"10/04/2022","112.35","114.02","114.14","111.76","9.08M","-0.04%"
"10/03/2022","112.40","110.00","112.40","109.33","11.17M","5.58%"
